antalUndervisningsdage,beskrivelse,duration,endDate,forudsaetninger,holdTitle,id,institution,kontaktMail,kontaktPerson,kontaktPersonTlfNummer,lokationGade,lokationPostNr,lokationSted,startDate,tilmeldingsFrist,undervisningsform,undervisningstidspunkt,aabent,aflyst,aktiGuid,currentParticipantAmount,flereKurser,garantiKursus,hjemmeside,kviknummer,minimumParticipants,normpris,participantCapacity,tillaegspris,tillaegsprisAarsag,tillaegsprisBegrundelse,ledigePladser,link
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation",2,2026-08-25,,Sikkerhed v. asbestarbejde uden autorisationskrav,877936,EUC Sjælland,bero@eucsj.dk,Berit Roholte,25235764,Malervænget 4,4700,Næstved,2026-08-24,2026-08-17,Dagundervisning,08:00 - 15:24,False,False,DD49128036CC4654A35D63BE9F2F2987,3,False,False,https://eucsj.dk,373401a26922290635,8,436,12,,,,9,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=373401a26922290635
,"Kurset afvikles på dansk, hvorfor deltagerne skal være i stand til at følge undervisningen og evt. prøver på dansk",2,2026-08-25,,Sikkerhed v. asbestarbejde uden autorisationskrav,884288,EUC Nordvest,kursus@eucnordvest.dk,Kursuscentret,99191907,Bjørnevej 9,7700,Thisted,2026-08-24,2026-08-24,Dagundervisning,08:00-15:24,False,False,22D1E0C67C8F4CCF92F481BA5B0F0BF2,0,False,False,https://kursuscentret.nu/,78741022906-2606,12,436,16,,,,16,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=78741022906-2606
,"Fag kan være prøvebelagt. Underviser oplyser tidspunkt for afholdelse ved kursusstart. Prøven foregår som udgangspunkt på fagets sidste dag.
Har du læse-/skrive udfordringer? 
Er du ordblind og har brug for læse-/skrivestøtte, eller har du brug for at få vurderet dine basale færdigheder i læsning, skrivning, regning og matematik, så ring til kursussekretæren snarest muligt inden kursusstart.",2,2026-08-26,,Sikkerhed v. asbestarbejde uden autorisationskrav,857518,ZBC - Zealand Business College,jpe@zbc.dk,Julie Linea Petersen,31935663,Maglegårdsvej 8,4000,Roskilde,2026-08-25,2026-08-16,Dagundervisning,08:00-15:24,False,False,2af1b7430c8142c4827b446c56768265,7,False,False,https://kurser.zbc.dk,2809415608am22906ro2,8,436,30,,,,23,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2809415608am22906ro2
,Kurset afholdes med gæstelærer,2,2026-08-26,,Sikkerhed v. asbestarb. uden autorisationskrav,888700,U/NORD,lly@unord.dk,Lone Lyngbo,48225310,Peder Oxes allé 4,3400,Hillerød,2026-08-25,2026-08-19,Dagundervisning,8.00-15.24,False,False,ffd45c0ea64b424daf0929ec9ac36000,4,False,False,www.kursus.unord.dk,281219po26asb2508,10,436,20,,,,16,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=281219po26asb2508
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.
Deltageren kan arbejde med:
1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøve",2,2026-09-01,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,889454,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Abildgårdsvej 14,4000,Roskilde,2026-08-31,2026-08-30,Dagundervisning,08:00 - 15:24,False,False,D12A198973154289B83021D921C33A42,0,False,True,https://www.amujuul.dk,26541423067,1,436,6,,,,6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423067
,"1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøvetagning, herunder materialeprøver og geltapeprøver.
",2,2026-09-01,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,889999,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Hovedakslen 10,4760,Vordingborg,2026-08-31,2026-08-30,Dagundervisning,08:00 - 15:24,False,False,9F54B9CCA3994E7CA28F0DAFB35B3D05,0,False,True,https://www.amujuul.dk,26541423090,1,436,6,,,,6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423090
,"Sikkerhed v. asbestarbejde uden autorisationskrav
Der kan forekomme afsluttende prøve på dette kursus",2,2026-09-01,,Sikkerhed v. asbestarbejde uden autorisationskrav,886602,Learnmark Horsens,jvni@learnmark.dk,Jette Nielsen,88163647,Vejlevej 150,8700,Horsens,2026-08-31,2026-08-31,Dagundervisning,08:00-15:24,False,False,D5E3662FCE8D4A9FBEF4B8AE9E9D88CD,6,False,False,www.learnmark.dk,6154022290626020,14,436,20,,,,14,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=6154022290626020
,"22906 - Sikkerhed v. asbestarbejde uden autorisationskrav
Målgruppe: 1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøvetagning, herunder materialeprøver og geltapeprøver
Beskrivelse: Deltageren kan arbejde sikkerheds- og sundhedsmæssigt fuldt forsvarligt med ethvert andet asbestarbejde end autorisationskrævende nedrivning af asbestholdigt materiale, som det er defineret og reguleret i bekendtgørelse om asbest i arbejdsmiljøet.
Deltageren har i den sammenhæng erhvervet sig",2,2026-09-01,,Sikkerhed v. asbestarbejde uden autorisationskrav,878370,AMU SYD,ckl@amusyd.dk,Carina Kjær Lillelund,76373744,C.F. Tietgens Vej 6,6000,Kolding,2026-08-31,2026-08-27,Dagundervisning,08:00-15:24,False,False,7ADC9D8A31FB4560AB4D2A4479D3F9E7,9,False,False,www.amusyd.dk,6214072290626008,10,436,20,,,,11,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=6214072290626008
,"Sikkerhed v. asbestarbejde uden autorisationskrav
Der kan forekomme afsluttende prøve på dette kursus",2,2026-09-01,,Sikkerhed v. asbestarbejde uden autorisationskrav,886601,Learnmark Horsens,jvni@learnmark.dk,Jette Nielsen,88163647,Lollandsvej 1,7400,Herning,2026-08-31,2026-08-31,Dagundervisning,08:00-15:24,False,False,606B011392714A3FB00A8A1906CFE689,7,False,False,www.learnmark.dk,6154022290626018,14,436,16,,,,9,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=6154022290626018
,Sikkerhed v. asbestarbejde uden autorisationskrav,2,2026-09-03,,Sikkerhed v. asbestarbejde uden autorisationskrav,845108,AMU-Fyn,jap@amu-fyn.dk,Jasmina Petrovic,63135103,Petersmindevej 50,5000,Odense C,2026-09-02,2026-09-02,Dagundervisning,08:00 - 15:24,False,False,CA3FB1D6BFBC4FACBAEB4144BD4E45C2,5,False,False,https://www.amu-fyn.dk,461420b02290612605,10,436,20,,,,15,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=461420b02290612605
,"Sikkerhed v. asbestarbejde uden autorisationskrav
Der kan forekomme afsluttende prøve på dette kursus",2,2026-09-03,,Sikkerhed v. asbestarbejde uden autorisationskrav,886603,Learnmark Horsens,jvni@learnmark.dk,Jette Nielsen,88163647,Vævervej 4,8800,Viborg,2026-09-02,2026-09-02,Dagundervisning,08:00-15:24,False,False,C323E5EC811D4D8990A33C577E1D49FF,4,False,False,www.learnmark.dk,6154022290626019,14,436,22,,,,18,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=6154022290626019
,Sikkerhed v. asbestarbejde uden autorisationskrav,2,2026-09-03,,Sikkerhed v. asbestarbejde uden autorisationskrav,878785,EUC Syd,maaj@eucsyd.dk,Maja Jørgensen,74124242,Stegholt 35,6200,Aabenraa,2026-09-02,2026-09-01,Dagundervisning,08.10 - 15:35,False,False,5AEBD5A9C2DB47AFBFB82A6361BA22F6,1,False,False,https://www.eucsyd.dk,5374012290626050,8,436,20,,,,19,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=5374012290626050
,"Fag kan være prøvebelagt. Underviser oplyser tidspunkt for afholdelse ved kursusstart. Prøven foregår som udgangspunkt på fagets sidste dag.
Har du læse-/skrive udfordringer? 
Er du ordblind og har brug for læse-/skrivestøtte, eller har du brug for at få vurderet dine basale færdigheder i læsning, skrivning, regning og matematik, så ring til kursussekretæren snarest muligt inden kursusstart.",2,2026-09-04,,Sikkerhed v. asbestarbejde uden autorisationskrav,857519,ZBC - Zealand Business College,jpe@zbc.dk,Julie Linea Petersen,31935663,Maglegårdsvej 8,4000,Roskilde,2026-09-03,2026-08-23,Dagundervisning,08:00-15:24,False,False,8b7ab400e35349e599a5c5847a131442,3,False,False,https://kurser.zbc.dk,2809415609am22906ro1,8,436,30,,,,27,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2809415609am22906ro1
,Sikkerhed v. asbestarbejde uden autorisationskrav,2,2026-09-15,,Sikkerhed v. asbestarbejde uden autorisationskrav,878783,EUC Syd,maaj@eucsyd.dk,Maja Jørgensen,74124242,Stegholt 35,6200,Aabenraa,2026-09-14,2026-09-11,Dagundervisning,08.10 - 15:35,False,False,BEB97544D93345B09D56DB3B449C5D89,0,False,False,https://www.eucsyd.dk,5374012290626051,8,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=5374012290626051
,,2,2026-09-15,,Sikkerhed v. asbestarbejde uden autorisationskrav,837171,TECHCOLLEGE,gira@techcollege.dk,Gitte F. Rasmussen,72505271,Øster Uttrup Vej 1,9000,Aalborg,2026-09-14,2026-09-07,Dagundervisning,08:15 - 15:40,False,False,AB9A8017B9904412892F2FD196E92C43,8,False,False,https://techcollege.dk,851401abe140926,10,436,20,,,,12,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=851401abe140926
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.
Deltageren kan arbejde med:
1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøve",2,2026-09-15,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,889455,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Abildgårdsvej 14,4000,Roskilde,2026-09-14,2026-09-13,Dagundervisning,08:00 - 15:24,False,False,34FA8E0A8C6B4385A3F80E61508F1C73,2,False,True,https://www.amujuul.dk,26541423068,1,436,6,,,,4,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423068
,,2,2026-09-16,,Sikkerhed v. asbestarbejde uden autorisationskrav,880490,Rybners,mhjo@rybners.dk,Maja Holden Juhl Poulsen,76133373,Spangsbjerg Møllevej 72,6700,Esbjerg,2026-09-15,2026-09-14,Dagundervisning,08:00- 15:25,False,False,3f8dbf769fcd4102ba16fc151bea424a,7,False,False,http:\\www.rybners.dk,280560ABY26222906AM2,13,436,20,,,,13,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=280560ABY26222906AM2
,"Fag kan være prøvebelagt. 
Underviser oplyser tidspunkt for afholdelse ved kursusstart. Prøven foregår som udgangspunkt på fagets sidste dag.

Har du læse-/skrive udfordringer? 
Er du ordblind og har brug for læse-/skrivestøtte, eller har du brug for at få vurderet dine basale færdigheder i læsning, skrivning, regning og matematik, så ring til kursussekretæren snarest muligt inden kursusstart.",2,2026-09-17,,Sikkerhed v. asbestarbejde uden autorisationskrav,855223,ZBC - Zealand Business College,chr@zbc.dk,Christina Trøstrup Christensen,28442249,Willemoesvej 4,4200,Slagelse,2026-09-16,2026-09-08,Dagundervisning,07:30-14:54,False,False,bd8c24c4c0544e2187378e33e0f5c5bc,0,False,False,https://kurser.zbc.dk,2809416609am22906a,5,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2809416609am22906a
,"Fag kan være prøvebelagt. Underviser oplyser tidspunkt for afholdelse ved kursusstart. Prøven foregår som udgangspunkt på fagets sidste dag.
Har du læse-/skrive udfordringer? 
Er du ordblind og har brug for læse-/skrivestøtte, eller har du brug for at få vurderet dine basale færdigheder i læsning, skrivning, regning og matematik, så ring til kursussekretæren snarest muligt inden kursusstart",2,2026-09-17,,Sikkerhed v. asbestarbejde uden autorisationskrav,857520,ZBC - Zealand Business College,jpe@zbc.dk,Julie Linea Petersen,31935663,Maglegårdsvej 8,4000,Roskilde,2026-09-16,2026-09-06,Dagundervisning,08:00-15:24,False,False,9fe9f398be314e3e9b0979248f675a98,3,False,False,https://kurser.zbc.dk,2809415609am22906ro2,8,436,30,,,,27,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2809415609am22906ro2
,"Sikkerhed v. asbestarbejde uden autorisationskrav
Der kan forekomme afsluttende prøve på dette kursus",2,2026-09-18,,Sikkerhed v. asbestarbejde uden autorisationskrav,886604,Learnmark Horsens,jvni@learnmark.dk,Jette Nielsen,88163647,Vejlevej 150,8700,Horsens,2026-09-17,2026-09-17,Dagundervisning,08:00-15:24,False,False,C5C3E2E044B74BB697177128D9B50245,3,False,False,www.learnmark.dk,6154022290626021,14,436,20,,,,17,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=6154022290626021
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.
Deltageren kan arbejde med:
1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøve",2,2026-09-22,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,889616,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Roedsvej 10,4300,Holbæk,2026-09-21,2026-09-20,Dagundervisning,08:00 - 15:24,False,False,26EB2FBD51E549A8ADE3CD7D07D82C9B,1,False,True,https://www.amujuul.dk,26541423082,1,436,6,,,,5,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423082
